;tweet;sentiment;content_clean
924;"Ya estamos en vivo! Hoy seguiremos la aventura del Master Cheff!

https://t.co/TKhMS4SsYb";POS;ya estamos en vivo!  hoy seguiremos la aventura del  master  cheff! url
961;@DarioEpstein Forzar una devaluación con un culpable? Ya en su momento kicillof le echó la culpa a Shell de aranguren.;NEG;@usuario  forzar una devaluación con un culpable?  ya en su momento kicillof le echó la culpa a  shell de aranguren.
617;cuando votemos lo que hace bien el resto del mundo y no precios cuidados https://t.co/F6QQ3dNYRY;NEG;cuando votemos lo que hace bien el resto del mundo y no precios cuidados url
1169;"@Paolol27 @OnlyRogerCanFly Miami 2005 vs Federer 
US Open 2015 vs Fognini
Australian Open 2021 vs Tsitsipas";POS;"@usuario @usuario  miami 2005 vs  federer  us  open 2015 vs  fognini
 australian  open 2021 vs  tsitsipas"
763;Aca vienen a pedir becas a la UBA ,Planes sociales,y traficar https://t.co/2jQTVgs9OI;NEG;aca vienen a pedir becas a la  uba , planes sociales,y traficar url
1266;¿Llega Smith a Mar del Plata?;POS;¿ llega  smith a  mar del  plata?
1751;"conozco mujeres que no respetan lo que es privacidad en una relación, creanme que no hace falta que en una ronda con sus amigas digan algo ""privado"" de su relación, la cara de incomodidad de una persona se nota desde lejos, y no es para nada lindo";NEG;"conozco mujeres que no respetan lo que es privacidad en una relación, creanme que no hace falta que en una ronda con sus amigas digan algo ""privado"" de su relación, la cara de incomodidad de una persona se nota desde lejos, y no es para nada lindo"
51;lo insoportable q es ir a la facultad con este clima del orto, q para colmo no hay ni un puto ventilador uba de mierda;NEG;lo insoportable q es ir a la facultad con este clima del orto, q para colmo no hay ni un puto ventilador uba de mierda
1802;"Ya me vinieron a entregar el libro ilustrado que pedí. Y está lindo.

Yo bien emocionada, me sentí como niña esperando el camión de helados. Me gusta comprar libros Ilustrados, yo soy feliz jaja y también me ayudan cuando doy atención a niños/as https://t.co/1VM7thQWhS";POS;ya me vinieron a entregar el libro ilustrado que pedí.  y está lindo.  yo bien emocionada, me sentí como niña esperando el camión de helados.  me gusta comprar libros  ilustrados, yo soy feliz jaja y también me ayudan cuando doy atención a niños/as url
420;@ROBERTORUSCITT3 @eraserena @andrecitwo y en Rosario parece que le dicen Mar del Plata jajaja;POS;@usuario @usuario @usuario y en  rosario parece que le dicen  mar del  plata jaja
